dish_name,description,korean_name,image_url
Agujjim,Braised monkfish with soybean sprouts in a spicy sauce.,아구찜,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Agujjim.jpg/640px-Agujjim.jpg
Andong Jjimdak,"Braised chicken with soy sauce, glass noodles, and vegetables, originating from Andong.",안동찜닭,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/13-hadirector1_hoya00571_hoya0057.jpg/640px-13-hadirector1_hoya00571_hoya0057.jpg
Baechu Kimchi,"Traditional Napa cabbage kimchi, fermented with chili powder, garlic, and ginger.",배추김치,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Kimchi_-_Massachusetts.jpg/640px-Kimchi_-_Massachusetts.jpg
Baek Kimchi,"White kimchi made without chili powder, resulting in a milder and sweeter flavor.",백김치,
Baekban,"A simple Korean meal set featuring rice, soup, and several side dishes.",백반,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Korean_Food%2C_Jeotgal_and_basic_dishes%28various_vegetables%29.jpg/640px-Korean_Food%2C_Jeotgal_and_basic_dishes%28various_vegetables%29.jpg
Baekseolgi,"Steamed rice cake, soft and fluffy, often used in celebrations.",백설기,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Baekseolgi.jpg/640px-Baekseolgi.jpg
Banchan,Assorted small side dishes served with rice and soup.,반찬,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Banchans.jpg/640px-Banchans.jpg
Beoseot Jeongol,"Mushroom hotpot with a variety of mushrooms, tofu, and vegetables in a light broth.",버섯전골,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/CCTV_Channel7_Visiting_Korea_05_%2827573671524%29.jpg/640px-CCTV_Channel7_Visiting_Korea_05_%2827573671524%29.jpg
Bibim Guksu,Spicy cold noodles with red chili paste and sesame oil.,비빔국수,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Korean_noodles-Bibim_guksu-01.jpg/640px-Korean_noodles-Bibim_guksu-01.jpg
Bibimbap,Mixed rice with assorted vegetables.,비빔밥,https://upload.wikimedia.org/wikipedia/commons/2/21/Vegan_hot_stone_pot_bibimbap_%28Dolsot-bibimbap%29_-_Kogi_2023-10-16.jpg
Bibim Naengmyeon,Chewy cold buckwheat noodles mixed with spicy gochujang-based sauce.,비빔냉면,
Bindaetteok,Mung bean pancakes fried to golden perfection with minced meat and vegetables.,빈대떡,
Bingsu,Shaved ice dessert topped with various sweet toppings like fruit or chocolate.,빙수,
Bokbunja-ju,"Korean black raspberry wine, sweet and slightly tart, often enjoyed as a dessert wine.",복분자주,
Bokkeum Udong,Stir-fried udon noodles with vegetables and a savory soy-based sauce.,볶음우동,
Bokkeumbap,A stir-fried rice dish made with assorted vegetables and seasonings.,볶음밥,
Bossam,"Boiled pork slices served with kimchi, garlic, and ssamjang.",보쌈,
Buchimgae,Korean-style savory pancakes made with various ingredients like kimchi or seafood.,부침개,
Buldak Bokkeum Myeon,Extremely spicy stir-fried instant noodles popular in Korea.,불닭볶음면,
Bulgogi,"Thinly sliced beef marinated in a sweet and savory sauce, grilled or stir-fried.",불고기,
Bulgogi Dupbap,Rice topped with marinated beef bulgogi.,불고기 덮밥,
Bulgogi Jeongol,Hot pot with thinly sliced marinated beef and assorted vegetables.,불고기 전골,
Bungeo-ppang,Fish-shaped pastry filled with red bean paste.,붕어빵,
Chaltteok,Glutinous rice cake with a chewy texture often filled with sweet bean paste.,찰떡,
Cheonggukjang,Thick soybean paste stew with a strong fermented flavor.,청국장,
Cheongju,"Traditional clear rice wine with a smooth and refined flavor, used in cooking or as a drink.",청주,
Cheongpomuk,Green mung bean jelly salad seasoned with soy sauce and sesame oil.,청포묵,
Chicken,Double-fried crispy chicken glazed with sauces like soy garlic or spicy gochujang.,치킨,
Chimaek,Korean fried chicken served with beer or on its own.,치맥,
Chueotang,"Mudfish soup, known for its rich flavor and high nutritional value.",추어탕,
Chwinamul,"Seasoned aster scaber greens, a popular vegetable side dish in Korean cuisine.",취나물,
Dakbal,"Spicy braised chicken feet, popular as a chewy, spicy street food.",닭발,
Dakbokkeumtang,"Spicy braised chicken with potatoes, carrots, and a gochujang-based sauce.",닭볶음탕,
Dakgalbi,"Spicy stir-fried chicken with vegetables, rice cakes, and gochujang sauce.",닭갈비,
Dakgangjeong,Crispy fried chicken glazed in a sweet and spicy sauce.,닭강정,
Dakjuk,"Chicken porridge made with tender chicken, rice, and a light broth.",닭죽,
